t,phi,z,omega,vz,E,E_anal
3.510000,9.254775,9.898290,-0.167517,-1.356690,94.040712,94.039612
3.520000,9.253084,9.884366,-0.170702,-1.427956,94.040712,94.039612
3.530000,9.251361,9.869731,-0.173952,-1.499187,94.040712,94.039612
3.540000,9.249605,9.854383,-0.177270,-1.570382,94.040712,94.039612
3.550000,9.247815,9.838323,-0.180657,-1.641540,94.040712,94.039612
3.560000,9.245992,9.821552,-0.184116,-1.712660,94.040712,94.039612
3.570000,9.244133,9.804070,-0.187648,-1.783740,94.040712,94.039612
3.580000,9.242238,9.785877,-0.191258,-1.854780,94.040712,94.039612
3.590000,9.240307,9.766975,-0.194946,-1.925777,94.040712,94.039612
3.600000,9.238339,9.747362,-0.198715,-1.996730,94.040712,94.039612
3.610000,9.236333,9.727040,-0.202569,-2.067637,94.040712,94.039612
3.620000,9.234287,9.706009,-0.206508,-2.138498,94.040712,94.039612
3.630000,9.232202,9.684270,-0.210538,-2.209309,94.040712,94.039612
3.640000,9.230076,9.661823,-0.214659,-2.280070,94.040712,94.039612
3.650000,9.227909,9.638669,-0.218876,-2.350779,94.040712,94.039612
3.660000,9.225699,9.614808,-0.223192,-2.421434,94.040712,94.039612
3.670000,9.223445,9.590241,-0.227609,-2.492032,94.040712,94.039612
3.680000,9.221146,9.564968,-0.232131,-2.562572,94.040712,94.039612
3.690000,9.218802,9.538989,-0.236761,-2.633051,94.040712,94.039612
3.700000,9.216410,9.512307,-0.241504,-2.703467,94.040712,94.039612
3.710000,9.213971,9.484920,-0.246362,-2.773819,94.040712,94.039612
3.720000,9.211483,9.456831,-0.251340,-2.844102,94.040712,94.039612
3.730000,9.208944,9.428038,-0.256442,-2.914316,94.040712,94.039612
3.740000,9.206354,9.398545,-0.261672,-2.984456,94.040712,94.039612
3.750000,9.203710,9.368350,-0.267034,-3.054521,94.040712,94.039612
3.760000,9.201012,9.337454,-0.272533,-3.124507,94.040712,94.039612
3.770000,9.198259,9.305860,-0.278173,-3.194412,94.040712,94.039612
3.780000,9.195448,9.273566,-0.283960,-3.264231,94.040712,94.039612
3.790000,9.192579,9.240575,-0.289899,-3.333963,94.040712,94.039612
3.800000,9.189650,9.206887,-0.295995,-3.403602,94.040712,94.039612
3.810000,9.186659,9.172504,-0.302253,-3.473146,94.040712,94.039612
